num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
17,cdba_model_converter,cdba3ac0,codestral_a190_mc_batch,success,32.33,6863,5201,1662,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
18,c909_model_converter,c9091374,codestral_a190_mc_batch,failure,32.48,8067,6437,1630,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
19,feac_model_converter,feac97d4,codestral_a190_mc_batch,success,26.9,5810,4406,1404,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
20,d74f_model_converter,d74f32d6,codestral_a190_mc_batch,success,27.11,5824,4396,1428,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
21,375e_model_converter,375e3567,codestral_a190_mc_batch,failure,31.95,8059,6438,1621,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
22,16a1_model_converter,16a13bdd,codestral_a190_mc_batch,success,30.87,7827,6263,1564,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
23,fe50_model_converter,fe50ab21,codestral_a190_mc_batch,failure,28.71,7716,6271,1445,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
24,b243_model_converter,b24303f9,codestral_a190_mc_batch,failure,30.59,7976,6441,1535,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
25,2ad4_model_converter,2ad47fe2,codestral_a190_mc_batch,success,28.04,5870,4396,1474,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
26,715c_model_converter,715c9d09,codestral_a190_mc_batch,success,26.92,5809,4388,1421,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
27,6594_model_converter,6594b766,codestral_a190_mc_batch,success,27.27,5834,4396,1438,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
28,2448_model_converter,2448a66b,codestral_a190_mc_batch,success,27.01,5820,4396,1424,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
29,1abb_model_converter,1abb2890,codestral_a190_mc_batch,success,28.26,5900,4406,1494,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
30,b58a_model_converter,b58a5b96,codestral_a190_mc_batch,success,26.51,5799,4406,1393,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
